STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:305811,3.4,40.77944,-73.88028,20130125 19:00,1
COOP:305811,3.4,40.77944,-73.88028,20130125 20:00,1
COOP:305811,3.4,40.77944,-73.88028,20130125 21:00,1
COOP:305811,3.4,40.77944,-73.88028,20130125 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130128 10:00,1
COOP:305811,3.4,40.77944,-73.88028,20130128 11:00,1
COOP:305811,3.4,40.77944,-73.88028,20130128 12:00,0
COOP:305811,3.4,40.77944,-73.88028,20130128 13:00,2
COOP:305811,3.4,40.77944,-73.88028,20130128 14:00,0
COOP:305811,3.4,40.77944,-73.88028,20130128 15:00,3
COOP:305811,3.4,40.77944,-73.88028,20130128 16:00,7
COOP:305811,3.4,40.77944,-73.88028,20130128 17:00,5
COOP:305811,3.4,40.77944,-73.88028,20130128 18:00,0
COOP:305811,3.4,40.77944,-73.88028,20130128 19:00,1
COOP:305811,3.4,40.77944,-73.88028,20130128 20:00,2
COOP:305811,3.4,40.77944,-73.88028,20130128 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130129 18:00,0
COOP:305811,3.4,40.77944,-73.88028,20130129 19:00,6
COOP:305811,3.4,40.77944,-73.88028,20130129 20:00,2
COOP:305811,3.4,40.77944,-73.88028,20130129 21:00,1
COOP:305811,3.4,40.77944,-73.88028,20130130 18:00,1
COOP:305811,3.4,40.77944,-73.88028,20130130 19:00,0
COOP:305811,3.4,40.77944,-73.88028,20130130 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130130 23:00,1
COOP:305811,3.4,40.77944,-73.88028,20130131 00:00,1
COOP:305811,3.4,40.77944,-73.88028,20130131 01:00,10
COOP:305811,3.4,40.77944,-73.88028,20130131 02:00,5
COOP:305811,3.4,40.77944,-73.88028,20130131 03:00,6
COOP:305811,3.4,40.77944,-73.88028,20130131 04:00,18
COOP:305811,3.4,40.77944,-73.88028,20130131 05:00,39
COOP:305811,3.4,40.77944,-73.88028,20130131 06:00,8
COOP:305811,3.4,40.77944,-73.88028,20130131 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130131 08:00,2
COOP:305811,3.4,40.77944,-73.88028,20130201 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130202 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130202 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130202 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130202 23:00,1
COOP:305811,3.4,40.77944,-73.88028,20130203 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 02:00,1
COOP:305811,3.4,40.77944,-73.88028,20130203 03:00,2
COOP:305811,3.4,40.77944,-73.88028,20130203 04:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 09:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 10:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 11:00,0
COOP:305811,3.4,40.77944,-73.88028,20130203 12:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 03:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 04:00,1
COOP:305811,3.4,40.77944,-73.88028,20130205 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 08:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 09:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 14:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 15:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 16:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 21:00,1
COOP:305811,3.4,40.77944,-73.88028,20130205 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130205 23:00,0
COOP:305811,3.4,40.77944,-73.88028,20130206 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130206 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130206 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130206 03:00,0
COOP:305811,3.4,40.77944,-73.88028,20130206 04:00,0
COOP:305811,3.4,40.77944,-73.88028,20130208 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130208 08:00,2
COOP:305811,3.4,40.77944,-73.88028,20130208 09:00,1
COOP:305811,3.4,40.77944,-73.88028,20130208 10:00,2
COOP:305811,3.4,40.77944,-73.88028,20130208 11:00,6
COOP:305811,3.4,40.77944,-73.88028,20130208 12:00,5
COOP:305811,3.4,40.77944,-73.88028,20130208 13:00,6
COOP:305811,3.4,40.77944,-73.88028,20130208 14:00,2
COOP:305811,3.4,40.77944,-73.88028,20130208 15:00,3
COOP:305811,3.4,40.77944,-73.88028,20130208 16:00,6
COOP:305811,3.4,40.77944,-73.88028,20130208 17:00,8
COOP:305811,3.4,40.77944,-73.88028,20130208 18:00,4
COOP:305811,3.4,40.77944,-73.88028,20130208 19:00,4
COOP:305811,3.4,40.77944,-73.88028,20130208 20:00,4
COOP:305811,3.4,40.77944,-73.88028,20130208 21:00,2
COOP:305811,3.4,40.77944,-73.88028,20130208 22:00,2
